Date,Income/Expenses,Category,Memo,Amount
2019-11-23,Expenses,Entertainment,湯姆熊,-100
2019-11-23,Expenses,Drinks,抹茶,-80
2019-11-23,Expenses,Food,午餐,-110
2019-11-22,Expenses,Food,午餐,-90
2019-11-21,Expenses,Food,午餐,-90
2019-11-19,Expenses,Food,午餐,-90
2019-11-18,Expenses,Drinks,泰式奶綠,-45
2019-11-18,Expenses,Food,午餐,-75
2019-11-17,Expenses,Food,晚餐,-150
2019-11-17,Expenses,Food,山美,-185
2019-11-17,Expenses,"Contact Lens ,Glasses",酷柏雙週,-230
2019-11-17,Expenses,Food,早餐,-75
2019-11-15,Expenses,Food,春水堂,-255
2019-11-15,Expenses,Food,午餐,-70
2019-11-14,Expenses,Drinks,圈叉奶茶,-50
2019-11-14,Expenses,Food,午餐,-79
2019-11-13,Expenses,Food,午餐,-104
2019-11-12,Expenses,Food,午餐,-80
2019-11-11,Expenses,Food,午餐,-80
2019-11-10,Expenses,Drinks,水,-29
2019-11-09,Expenses,Food,午餐,-90
2019-11-08,Expenses,Drinks,鮮奶茶,-60
2019-11-08,Expenses,Food,晚餐,-120
2019-11-08,Expenses,Food,午餐,-80
2019-11-07,Expenses,Food,午餐,-90
2019-11-06,Expenses,Drinks,優酪乳,-45
2019-11-06,Expenses,Food,午餐,-40
2019-11-05,Expenses,Food,午餐,-70
2019-11-04,Expenses,Food,午餐,-85
2019-11-03,Expenses,Food,晚餐,-100
2019-11-03,Expenses,Food,早餐,-190
2019-11-01,Expenses,Food,午餐,-75
2019-10-31,Expenses,Drinks,圈叉奶茶,-50
2019-10-31,Expenses,Food,午餐,-70
2019-10-30,Expenses,Food,午餐,-70
2019-10-29,Expenses,Gas,機車95,-142
2019-10-29,Expenses,Food,午餐,-50
2019-10-28,Expenses,Drinks,冬瓜冰,-40
2019-10-28,Expenses,Food,午餐,-70
2019-10-27,Expenses,Drinks,水,-29
2019-10-27,Expenses,Food,午餐,-55
2019-10-26,Expenses,Food,早餐,-50
2019-10-25,Expenses,Food,午餐,-50
2019-10-24,Expenses,Health,中藥,-150
2019-10-24,Expenses,Food,午餐,-150
2019-10-23,Expenses,Tax,停車費,-15
2019-10-22,Expenses,Drinks,楊桃湯,-30
2019-10-22,Expenses,Food,午餐,-90
2019-10-21,Expenses,Drinks,麥香紅茶,-10
2019-10-21,Expenses,Food,MM,-35
2019-10-21,Expenses,Food,午餐,-60
2019-10-20,Expenses,Food,晚餐,-59
2019-10-20,Expenses,Food,咖啡豆,-1000
2019-10-20,Expenses,Food,糧好時光,-300
2019-10-19,Expenses,Electronics,金士頓DDR4 2400 8G,-899
2019-10-19,Expenses,Movie,小丑,-190
2019-10-19,Expenses,Food,免煎嗲,-15
2019-10-19,Expenses,Food,小雅,-40
2019-10-19,Expenses,Tax,電話費,-1000
2019-10-18,Expenses,Food,春水堂,-216
2019-10-18,Expenses,Drinks,楊桃湯,-35
2019-10-18,Expenses,Food,午餐,-50
2019-10-17,Expenses,Food,午餐,-100
2019-10-17,Expenses,Drinks,水,-16
2019-10-16,Expenses,Food,午餐,-75
2019-10-15,Expenses,Drinks,比菲多,-40
2019-10-15,Expenses,Food,午餐,-90
2019-10-14,Expenses,Motor Maintenance,機油,-150
2019-10-14,Expenses,Food,午餐,-80
2019-10-13,Expenses,Social,line貼圖,-130
2019-10-13,Expenses,Gas,機車95,-141
2019-10-13,Expenses,Food,午餐,-123
2019-10-12,Expenses,Drinks,烏龍茶,-15
2019-10-12,Expenses,Food,愛開玩笑的人,-150
2019-10-10,Expenses,Food,午餐,-75
2019-10-09,Expenses,Drinks,雙妃奶茶,-45
2019-10-09,Expenses,Food,午餐,-80
2019-10-08,Expenses,Entertainment,AGE2 完全版,-509
2019-10-08,Expenses,Food,午餐,-104
2019-10-07,Expenses,shoes,球鞋補色筆,-360
2019-10-07,Expenses,Food,午餐,-123
2019-10-06,Expenses,Food,虎爺雞飯,-250
2019-10-06,Expenses,Food,義大利麵,-300
2019-10-05,Expenses,Food,午餐,-100
2019-10-05,Expenses,Hair,剪頭髮,-70
2019-10-04,Expenses,Food,晚餐,-105
2019-10-04,Expenses,Food,午餐,-100
2019-10-03,Expenses,Drinks,楊桃湯,-25
2019-10-03,Expenses,Food,午餐,-75
2019-10-02,Expenses,Food,午餐,-70
2019-10-01,Expenses,Food,晚餐,-70
2019-10-01,Expenses,Drinks,冬瓜檸檬,-35
2019-10-01,Expenses,Food,午餐,-90
2019-09-30,Expenses,Drinks,麥香紅茶,-10
2019-09-30,Expenses,Food,午餐,-80
2019-09-29,Expenses,Food,國民市場魚丸,-340
2019-09-29,Expenses,Food,烏拉森林,-300
2019-09-29,Expenses,Food,奶綠 烏龍茶,-105
2019-09-27,Expenses,shoes,洗鞋,-250
2019-09-27,Expenses,Drinks,抹茶拿鐵,-55
2019-09-27,Expenses,Food,晚餐,-90
2019-09-27,Expenses,Food,午餐,-60
2019-09-26,Expenses,Food,午餐,-100
2019-09-25,Expenses,Food,鬆餅,-10
2019-09-25,Expenses,Food,午餐,-65
2019-09-24,Expenses,Electronics,耳機,-229
2019-09-24,Expenses,Food,午餐,-95
2019-09-23,Expenses,Drinks,凍檸茶,-25
2019-09-23,Expenses,Food,午餐,-85
2019-09-21,Expenses,Clothing,zara上衣,-1990
2019-09-21,Expenses,Daily commodies,盤子,-60
2019-09-21,Expenses,Food,黑狗食堂,-410
2019-09-21,Expenses,Drinks,奶茶,-20
2019-09-21,Expenses,Food,小賀的店,-120
2019-09-20,Expenses,Drinks,米漿,-20
2019-09-20,Expenses,Food,午餐,-120
2019-09-19,Expenses,Food,鹿仔草,-45
2019-09-19,Expenses,Food,晚餐,-80
2019-09-19,Expenses,Food,午餐,-99
2019-09-18,Expenses,Travel,花蓮住宿保證金,-420
2019-09-18,Expenses,Drinks,紅茶牛奶,-45
2019-09-18,Expenses,Food,午餐,-75
2019-09-17,Expenses,Drinks,五十嵐珍奶,-45
2019-09-17,Expenses,Food,午餐,-90
2019-09-16,Expenses,Travel,火車手續費,-60
2019-09-16,Expenses,Food,午餐,-65
2019-09-15,Expenses,Food,午餐,-67
2019-09-14,Expenses,Food,青木堂,-258
